Type,Species,Summary
Cat,Abyssinian,"The Abyssinian /æbɪˈsɪniən/ is a breed of domestic short-haired cat with a distinctive ""ticked"" tabby coat, in which individual hairs are banded with different colors. In nomenclature terms, they are also known as simply Abys. The breed is named for Abyssinia (now called Ethiopia), where it is believed to have originated."
Cat,American Bobtail,"The American Bobtail is an uncommon breed of domestic cat which was developed in the late 1960s. It is most notable for its stubby ""bobbed"" tail about one-third to one-half the length of a normal cat's tail. This is the result of a cat body type genetic mutation affecting the tail development, similar to that of a Manx cat. The breed is not related to the Japanese Bobtail despite the similar name and physical type—the breeding programs are entirely unrelated, and the genetic mutation causing the bobbed tail are known to be different because the mutation causing the American Bobtail's tail is dominant, whereas the Japanese Bobtail tail mutation is recessive."
Cat,American Curl,"The American Curl is a breed of cat characterized by its unusual ears, which curl back from the face toward the center of the back of the skull. An American Curl's ears should be handled carefully because rough handling may damage the cartilage in the ear. The breed originated in Lakewood, California, as the result of a spontaneous mutation."
Cat,American Shorthair,"The American Shorthair (ASH) is a breed of domestic cat believed to be descended from European cats brought to North America by early settlers to protect valuable cargo from mice and rats. According to the Cat Fanciers' Association, in 2012, it was the seventh most popular pedigreed cat in the United States."
Cat,American Wirehair,"The American Wirehair is a breed of domestic cat originating in upstate New York. As of 2017, though the breed is well-known, it is ranked as the most rare of the 41 Cat Fanciers' Association breeds."
Cat,Applehead Siamese,"The Thai or Wichien Maat (Thai: วิเชียรมาศ, [wí.tɕʰīan.mâːt], RTGS: wichianmat, meaning 'diamond gold') is a newly renamed but old cat breed, related to but distinct from the Western, modern-style Siamese cat. This natural breed is descended from the cats of Thailand, and, among various groups of breeders in different times and places has also been called the Old-Style Siamese, Traditional Siamese, Classic Siamese; Wichien Maat (anglicised from the Thai name); and the Applehead, a nickname that originated in the 1950s (originally as a pejorative used by breeders of the modern-style, more extreme-featured Siamese). According to The International Cat Association: ""The Thai is the breed dedicated to preserving the native pointed cat of Thailand in as close to its original form as possible."""
Cat,Balinese,"The Balinese is a long-haired breed of domestic cat with Siamese-style point coloration and sapphire-blue eyes. The Balinese is also known as the purebred long-haired Siamese, since it originated as a natural mutation of that breed and hence is essentially the same cat with a medium-length silky coat and a distinctively plumed tail."
Cat,Bengal,"The Bengal cat is a domesticated cat breed created from hybrids of domestic cats, especially the spotted Egyptian Mau, with the Asian leopard cat (Prionailurus bengalensis). The breed name comes from the leopard cat's taxonomic name. Bengals have a wild appearance; their golden shimmer comes from their leopard cat ancestry, and their coats may show spots, rosettes, arrowhead markings, or marbling. They are an energetic breed which needs much exercise and play."
Cat,Birman,"The Birman, also called the ""Sacred Cat of Burma"", is a domestic cat breed. The Birman is a long-haired, colour-pointed cat distinguished by a silky coat, deep blue eyes, and contrasting white ""gloves"" or ""socks"" on each paw."
Cat,Bombay,"The Bombay cat is a type of short-haired cat developed by breeding sable Burmese and black American Shorthair cats, to produce a cat of mostly Burmese type, but with a sleek, panther-like black coat. Bombay is the name given to black cats of the Asian group."
Cat,British Shorthair,"The British Shorthair is the pedigreed version of the traditional British domestic cat, with a distinctively stocky body, dense coat, and broad face. The most familiar color variant is the ""British Blue"", with a solid grey-blue coat, orange eyes, and a medium-sized tail. The breed has also been developed in a wide range of other colours and patterns, including tabby and colorpoint. It is one of the most ancient cat breeds known. In modern times, it remains the most popular pedigreed breed in its native country, as registered by the UK's Governing Council of the Cat Fancy (GCCF). A quarter of all kittens registered with the GCCF each year are British Shorthairs, making the British the most popular pedigree cat in the UK. The breed's good-natured appearance and relatively calm temperament make it a frequent media star, notably as the inspiration for John Tenniel's famous illustration of the Cheshire Cat from Alice in Wonderland. The Cat Fanciers' Association profile reads: ""When gracelessness is observed, the British Shorthair is duly embarrassed, quickly recovering with a 'Cheshire cat smile'."""
Cat,Burmese,"The Burmese cat (Burmese: ဗမာကြောင်, Thai: ทองแดง or ศุภลักษณ์, RTGS: Thongdaeng or Supphalak, meaning copper colour) is a breed of domestic cat, originating in Burma, believed to have its roots near the Thai-Burma border and developed in the United States and Britain."
Cat,Burmilla,"The Burmilla is a breed of domestic cat which originated in the United Kingdom in 1981. It is a cross between the Chinchilla Persian and Burmese cats. Standards were produced in 1984, and the breed gained championship status in the United Kingdom in the 1990s."
Cat,Calico,"A calico cat is a domestic cat of any breed with a tri-color coat. The calico cat is most commonly thought of as being typically 25% to 75% white with large orange and black patches; however, the calico cat can have any three colors in its pattern."
Cat,Canadian Hairless,"The contemporary breed of Sphynx cat, also known as the Canadian Sphynx, is distinct from the Russian hairless cat breeds, like Peterbald and Donskoy. Although hairless cats have been reported throughout history, breeders in Europe have been developing the Sphynx breed since the early 1960s."
Cat,Chartreux,"The Chartreux is a rare breed of cat from France, and is recognised by a number of registries around the world. The Chartreux is large and muscular with relatively short, fine-boned limbs, and very fast reflexes."
Cat,Chausie,The Chausie is a domestic breed of cat that was developed by breeding a few individuals from the non-domestic species jungle cat to a far greater number of domestic cats. The Chausie was first recognized as a domestic breed by The International Cat Association in 1995.
Cat,Chinchilla,"Chinchillas are either of two species of crepuscular rodents of the parvorder Caviomorpha. They are slightly larger and more robust than ground squirrels, and are native to the Andes mountains in South America. They live in colonies called ""herds"" at high elevations of up to 4,270 m."
Cat,Cornish Rex,"A Cornish Rex is a breed of domestic cat. The Cornish Rex has no hair except for down. Most breeds of cat have three different types of hair in their coats: the outer fur or ""guard hairs"", a middle layer called the ""awn hair""; and the down hair or undercoat, which is very fine and about 1 cm long."
Cat,Cymric,"The Cymric is a breed of domestic cat. Some cat registries consider the Cymric simply a semi-long-haired variety of the Manx breed, rather than a separate breed. Except for the length of fur, in all other respects the two varieties are the same, and kittens of either sort may appear in the same litter."
Cat,Devon Rex,"The Devon Rex is a breed of intelligent, tall-eared, short-haired cat that emerged in England during the late 1950s. They are known for their slender bodies, wavy coat, and large ears. This breed of cat is capable of learning difficult tricks but can be hard to motivate."
Cat,Dilute Calico,"Dilute calico cats are simply what that means: they have the same coloring as calico cats, but ""diluted,"" meaning dilute calicos are calico cats with less intense color hues. ... Other than blue, white, and cream, dilute calicos can also come in colors such as white, lilac, and cream or white, fawn, and cream."
Cat,Dilute Tortoiseshell,"The size of the patches can range from a speckled pattern to large splotches of color. Tortoiseshell cats have have very few or no white markings, as opposed to calicos, who are tri-colored cats with larger areas of white fur. Sometimes, the colors are more muted. These torties are known as dilute torties."
Cat,Domestic Long Hair,A domestic long-haired cat is a cat of mixed ancestry – thus not belonging to any particular recognised cat breed – possessing a coat of semi-long to long fur.
Cat,Domestic Medium Hair,No information is available.
Cat,Domestic Short Hair,"A domestic short-haired cat is a cat of mixed ancestry—thus not belonging to any particular recognised cat breed—possessing a coat of short fur. In British English, they are sometimes referred to as moggies. In the Philippines, they are referred to as puspins, a portmanteau of the words 'pusa' and 'pinoy'."
Cat,Egyptian Mau,Egyptian Maus are a small to medium-sized short-haired cat breed. They are one of the few naturally spotted breeds of domesticated cat. The spots of the Mau occur on only the tips of the hairs of its coat. It is considered a rare breed.
Cat,Exotic Shorthair,"The Exotic Shorthair is a breed of cat developed as a short-haired version of the Persian. The Exotic is similar to the Persian in many ways, including temperament and conformation, a flat nose and face with the exceptions of the short dense coat."
Cat,Extra-Toes Cat - Hemingway Polydactyl,"A polydactyl cat is a cat with a congenital physical anomaly called polydactyly, which causes the cat to be born with more than the usual number of toes on one or more of its paws."
Cat,Havana,"The Havana Brown was the result of a planned breeding between Siamese and domestic black cats, by a group of cat fanciers in England, in the 1950s. Early breeders introduced a Siamese type Russian Blue into their breeding. However, using current genetic testing, it is believed that almost none remain in the gene pool."
Cat,Himalayan,"The Himalayan, is a breed or sub-breed of long-haired cat similar in type to the Persian, with the exception of its blue eyes and its point colouration, which were derived from crossing the Persian with the Siamese."
Cat,Japanese Bobtail,"The Japanese Bobtail is a breed of domestic cat with an unusual bobtail more closely resembling the tail of a rabbit than that of other cats. The variety is native to Japan and Southeast Asia, though it is now found throughout the world."
Cat,Javanese,"The Javanese, also known as the Colorpoint Longhair in some registries, is a variety of purebred domestic cat. It is an Oriental-type, the long-haired equivalent of the Colorpoint Shorthair."
Cat,Korat,"The Korat cat is a silver-tipped blue-grey, short-haired breed of domestic cat with a small to medium build and a low percentage of body fat. Its body is semi-cobby, and unusually heavy for its size."
Cat,LaPerm,"The LaPerm is a breed of cat. A LaPerm's fur is curly, with the tightest curls being, throat, and base of the ears. LaPerms come in many colors and patterns. LaPerms generally have a very affectionate personality."
Cat,Maine Coon,"The Maine Coon is a large domesticated cat breed. It has a distinctive physical appearance and valuable hunting skills. It is one of the oldest natural breeds in North America, specifically native to the US state of Maine, where it is the official state cat."
Cat,Manx,"The Manx cat is a breed of domestic cat originating on the Isle of Man, with a naturally occurring mutation that shortens the tail."
Cat,Munchkin,"The Munchkin cat or Sausage cat is a relatively new breed of cat characterized by its very short legs, which are caused by a genetic mutation. The Munchkin is considered to be the original breed of dwarf cat."
Cat,Nebelung,"The Nebelung is a rare pedigree breed of domestic cat. Nebelungs have long bodies, wide-set green eyes, long and dense fur, and mild dispositions."
Cat,Norwegian Forest Cat,"The Norwegian Forest cat is a breed of domestic cat originating in Northern Europe. This natural breed is adapted to a very cold climate, with a top coat of glossy, long, water-shedding hair and a woolly undercoat for insulation."
Cat,Ocicat,The Ocicat is an all-domestic breed of cat which resembles a wild cat but has no wild DNA in its gene pool. The breed is unusual in that it is spotted like a wild cat but has the temperament of a domestic animal. It is named for its resemblance to the ocelot. The breed was established from the Siamese and Abyssinian.
Cat,Oriental Long Hair,"The Oriental Longhair is a variety of domestic cat. It is closely related to the Oriental Shorthair. The Oriental Longhair in some registries, such as The International Cat Association, is a separate breed."
Cat,Oriental Short Hair,The Oriental Shorthair is a breed of domestic cat that is developed from and closely related to the Siamese cat. It maintains the modern Siamese head and body type but appears in a wide range of coat colors and patterns.
Cat,Oriental Tabby,The Oriental Tabby is a variation on the Oriental breed and they share the same history. If you want to read the full history of the Oriental breed click here.
Cat,Persian,"The Persian cat is a long-haired breed of cat characterized by its round face and short muzzle. It is also known as the ""Persian Longhair"" in the English-speaking countries. The first documented ancestors of the Persian were imported into Italy from Iran around 1620."
Cat,Pixiebob,"The Pixie-bob is a breed of domestic cat claimed to be the progeny of naturally occurring bobcat hybrids. However, DNA testing has failed to detect bobcat marker genes, and Pixie-bobs are considered wholly domestic for the purposes of ownership, cat fancy registration, and import and export."
Cat,Ragamuffin,"The Ragamuffin is a breed of domestic cat. It was once considered to be a variant of the Ragdoll cat but was established as a separate breed in 1994. Ragamuffins are notable for their friendly personalities and thick, rabbitlike fur."
Cat,Ragdoll,"The Ragdoll is a cat breed with a color point coat and blue eyes. They are large and muscular semi-longhair cats with a soft and silky coat. Developed by American breeder Ann Baker in the 1960s, they are best known for their docile and placid temperament and affectionate nature."
Cat,Russian Blue,"The Russian Blue is a cat breed that comes in colors varying from a light shimmering silver to a darker, slate grey. Their short, dense coat, which stands out from the body, has been the hallmark of the Russian breed for more than a century."
Cat,Scottish Fold,"The Scottish Fold is a breed of domestic cat with a natural dominant-gene mutation that affects cartilage throughout the body, causing the ears to ""fold"", bending forward and down towards the front of the head, which gives the cat what is often described as an ""owl-like"" appearance."
Cat,Selkirk Rex,"The Selkirk Rex curls are the result of a natural mutation found in a litter of kittens produced by a blue tortoise cat and a white cat. This curly-haired kitten, whose siblings all had straight hair, also had the curly whiskers for which the Selkirk is known for today."
Cat,Siamese,"The Siamese cat is one of the first distinctly recognized breeds of Asian cat. Derived from the Wichianmat landrace, one of several varieties of cat native to Thailand, the original Siamese became one of the most popular breeds in Europe and North America in the 19th century."
Cat,Siberian,The Siberian is a centuries-old landrace of domestic cat in Russia and recently developed as a formal breed with standards promulgated the world over since the late 1980s. Siberians vary from medium to medium-large in size.
Cat,Silver,Cat with silver fur?
Cat,Singapura,"The Singapura is one of the smallest breeds of cats, noted for its large eyes and ears, brown ticked coat, and blunt tail."
Cat,Snowshoe,The Snowshoe is a breed of cat originating in the United States of America in the 1960s. Snowshoes were first produced in Philadelphia when a Siamese breeder's cat gave birth to three kittens with white feet.
Cat,Somali,"The Somali cat is often described as a long-haired African cat; a product of a recessive gene in Abyssinian cats, though how the gene was introduced into the Abyssinian gene pool is unknown. It is believed that they originated from Somalia, long lost cousin of the Abyssinian cat; which has origins in Ethiopia."
Cat,Sphynx - Hairless Cat,"The Sphynx cat is a breed of cat known for its lack of coat. Hairlessness in cats is a naturally occurring genetic mutation; however, the Sphynx cat, as a breed, was developed through selective breeding, starting in the 1960s."
